TLD,Dose Medida (Dm),Dose Calculada (Dc),Ponto Medido X (rm_x),Ponto Medido Y (rm_y),Ponto Calculado X (rc_x),Ponto Calculado Y (rc_y)
,48.96,49.81,9.0,0.0,11.5,-2.5
146,47.18,47.73,0.0,0.0,-2.5,2.5
,47.18,49.18,0.0,0.0,2.5,2.5
,47.18,48.80,0.0,0.0,0.0,0.0
,47.18,47.74,0.0,0.0,-2.5,-2.5
,47.18,49.18,0.0,0.0,2.5,-2.5
255,27.88,27.01,-9.0,0.0,-11.5,2.5
,27.88,33.97,-9.0,0.0,-6.5,2.5
,27.88,28.08,-9.0,0.0,-9.0,0.0
,27.88,27.02,-9.0,0.0,-11.5,-2.5
,27.88,33.97,-9.0,0.0,-6.5,-2.5
109,25.37,25.11,-18.0,0.0,-20.5,2.5
,25.37,26.00,-18.0,0.0,-15.5,2.5
,25.37,25.71,-18.0,0.0,-18.0,0.0
,25.37,25.11,-18.0,0.0,-20.5,-2.5
,25.37,26.00,-18.0,0.0,-15.5,-2.5
131,48.65,49.59,18.0,-9.0,15.5,-6.5
,48.65,48.33,18.0,-9.0,20.5,-6.5
,48.65,49.32,18.0,-9.0,18.0,-9.0
,48.65,49.61,18.0,-9.0,15.5,-11.5
,48.65,48.36,18.0,-9.0,20.5,-11.5
199,49.52,49.65,9.0,-9.0,6.5,-6.5
,49.52,49.80,9.0,-9.0,11.5,-6.5
,49.52,49.75,9.0,-9.0,9.0,-9.0
,49.52,49.68,9.0,-9.0,6.5,-11.5
,49.52,49.82,9.0,-9.0,11.5,-11.5
82,47.83,47.77,0.0,-9.0,-2.5,-6.5
,47.83,49.22,0.0,-9.0,2.5,-6.5
,47.83,48.89,0.0,-9.0,0.0,-9.0
,47.83,47.82,0.0,-9.0,-2.5,-11.5
,47.83,49.27,0.0,-9.0,2.5,-11.5
212,27.70,27.00,-9.0,-9.0,-11.5,-6.5
,27.70,33.97,-9.0,-9.0,-6.5,-6.5
,27.70,28.08,-9.0,-9.0,-9.0,-9.0
,27.70,26.99,-9.0,-9.0,-11.5,-11.5
,27.70,33.98,-9.0,-9.0,-6.5,-11.5
186,25.61,25.09,-18.0,-9.0,-20.5,-6.5
,25.61,25.99,-18.0,-9.0,-15.5,-6.5
,25.61,25.69,-18.0,-9.0,-18.0,-9.0
,25.61,25.10,-18.0,-9.0,-20.5,-11.5
,25.61,25.98,-18.0,-9.0,-15.5,-11.5
202,48.77,49.52,18.0,-18.0,15.5,-15.5
,48.77,48.29,18.0,-18.0,20.5,-15.5
,48.77,48.99,18.0,-18.0,18.0,-18.0
,48.77,48.40,18.0,-18.0,15.5,-20.5
,48.77,47.26,18.0,-18.0,20.5,-20.5
223,48.66,49.58,9.0,-18.0,6.5,-15.5
,48.66,49.72,9.0,-18.0,11.5,-15.5
,48.66,49.38,9.0,-18.0,9.0,-18.0
,48.66,48.44,9.0,-18.0,6.5,-20.5
,48.66,48.57,9.0,-18.0,11.5,-20.5
152,47.16,47.75,0.0,-18.0,-2.5,-15.5
,47.16,49.18,0.0,-18.0,2.5,-15.5
,47.16,48.58,0.0,-18.0,0.0,-18.0
,47.16,46.74,0.0,-18.0,-2.5,-20.5
,47.16,48.07,0.0,-18.0,2.5,-20.5
124,27.30,26.91,-9.0,-18.0,-11.5,-15.5
,27.30,33.88,-9.0,-18.0,-6.5,-15.5
,27.30,27.78,-9.0,-18.0,-9.0,-18.0
,27.30,26.24,-9.0,-18.0,-11.5,-20.5
,27.30,33.02,-9.0,-18.0,-6.5,-20.5
84,25.12,25.04,-18.0,-18.0,-20.5,-15.5
,25.12,25.91,-18.0,-18.0,-15.5,-15.5
,25.12,25.48,-18.0,-18.0,-18.0,-18.0
,25.12,24.50,-18.0,-18.0,-20.5,-20.5
