TLD,Dose Medida (Dm),Dose Calculada (Dc),Ponto Medido X (rm_x),Ponto Medido Y (rm_y),Ponto Calculado X (rc_x),Ponto Calculado Y (rc_y),,,
,3947,4529,0,0,3,3,,,
,3947,2802,0,0,-3,2,,,
,3947,2976,0,0,-2,2,,,
,3947,3461,0,0,-1,2,,,
,3947,4041,0,0,0,2,,,
,3947,4337,0,0,1,2,,,
,3947,4462,0,0,2,2,,,
,3947,4528,0,0,3,2,,,
,3947,2802,0,0,-3,1,,,
,3947,2976,0,0,-2,1,,,
,3947,3460,0,0,-1,1,,,
,3947,4040,0,0,0,1,,,
,3947,4336,0,0,1,1,,,
,3947,4461,0,0,2,1,,,
,3947,4527,0,0,3,1,,,
,3947,2802,0,0,-3,0,,,
,3947,2976,0,0,-2,0,,,
,3947,3460,0,0,-1,0,,,
,3947,4040,0,0,0,0,,,
,3947,4336,0,0,1,0,,,
,3947,4461,0,0,2,0,,,
,3947,4527,0,0,3,0,,,
,3947,2802,0,0,-3,-1,,,
,3947,2976,0,0,-2,-1,,,
,3947,3461,0,0,-1,-1,,,
,3947,4040,0,0,0,-1,,,
,3947,4336,0,0,1,-1,,,
,3947,4461,0,0,2,-1,,,
,3947,4528,0,0,3,-1,,,
,3947,2802,0,0,-3,-2,,,
,3947,2977,0,0,-2,-2,,,
,3947,3461,0,0,-1,-2,,,
,3947,4041,0,0,0,-2,,,
,3947,4337,0,0,1,-2,,,
,3947,4462,0,0,2,-2,,,
,3947,4528,0,0,3,-2,,,
,3947,2803,0,0,-3,-3,,,
,3947,2977,0,0,-2,-3,,,
,3947,3462,0,0,-1,-3,,,
,3947,4042,0,0,0,-3,,,
,3947,4338,0,0,1,-3,,,
,3947,4463,0,0,2,-3,,,
,3947,4529,0,0,3,-3,,,
172,2585,2604,-9,0,-12,3,,,
,2585,2608,-9,0,-11,3,,,
,2585,2613,-9,0,-10,3,,,
,2585,2620,-9,0,-9,3,,,
,2585,2628,-9,0,-8,3,,,
,2585,2641,-9,0,-7,3,,,
,2585,2661,-9,0,-6,3,,,
,2585,2604,-9,0,-12,2,,,
,2585,2608,-9,0,-11,2,,,
,2585,2613,-9,0,-10,2,,,
,2585,2620,-9,0,-9,2,,,
,2585,2628,-9,0,-8,2,,,
,2585,2641,-9,0,-7,2,,,
,2585,2661,-9,0,-6,2,,,
,2585,2604,-9,0,-12,1,,,
,2585,2608,-9,0,-11,1,,,
,2585,2613,-9,0,-10,1,,,
,2585,2620,-9,0,-9,1,,,
,2585,2629,-9,0,-8,1,,,
,2585,2641,-9,0,-7,1,,,
,2585,2661,-9,0,-6,1,,,
,2585,2604,-9,0,-12,0,,,
,2585,2608,-9,0,-11,0,,,
,2585,2613,-9,0,-10,0,,,
,2585,2620,-9,0,-9,0,,,
,2585,2629,-9,0,-8,0,,,
,2585,2641,-9,0,-7,0,,,
,2585,2661,-9,0,-6,0,,,
,2585,2604,-9,0,-12,-1,,,
,2585,2609,-9,0,-11,-1,,,
,2585,2614,-9,0,-10,-1,,,
,2585,2620,-9,0,-9,-1,,,
,2585,2629,-9,0,-8,-1,,,
,2585,2641,-9,0,-7,-1,,,
,2585,2661,-9,0,-6,-1,,,
,2585,2604,-9,0,-12,-2,,,
,2585,2609,-9,0,-11,-2,,,
,2585,2614,-9,0,-10,-2,,,
,2585,2620,-9,0,-9,-2,,,
,2585,2629,-9,0,-8,-2,,,
,2585,2642,-9,0,-7,-2,,,
,2585,2661,-9,0,-6,-2,,,
,2585,2604,-9,0,-12,-3,,,
,2585,2608,-9,0,-11,-3,,,
,2585,2613,-9,0,-10,-3,,,
,2585,2620,-9,0,-9,-3,,,
,2585,2629,-9,0,-8,-3,,,
